id,name,created_at,updated_at
1,Administrativo,2026-03-02 13:27:00.039,2026-03-02 13:27:00.039
2,Atendimento ao Cliente,2026-03-02 13:27:00.841,2026-03-02 13:27:00.841
3,Atendimento Social,2026-03-02 13:27:02.052,2026-03-02 13:27:02.052
4,Cadastro,2026-03-02 13:27:03.184,2026-03-02 13:27:03.184
5,Controladoria,2026-03-02 13:27:04.561,2026-03-02 13:27:04.561
6,Coordenação,2026-03-02 13:27:05.561,2026-03-02 13:27:05.561
7,Engenharia,2026-03-02 13:27:07.688,2026-03-02 13:27:07.688
8,Financeiro,2026-03-02 13:27:09.834,2026-03-02 13:27:09.834
9,Gerência,2026-03-02 13:27:11.766,2026-03-02 13:27:11.766
10,Reurb,2026-03-02 13:27:12.356,2026-03-02 13:27:12.356
11,RH,2026-03-02 13:27:12.839,2026-03-02 13:27:12.839
12,TI,2026-03-02 13:27:13.298,2026-03-02 13:27:13.298
13,REURB,2026-03-02 13:39:05.41,2026-03-02 13:39:05.41
